Item Code,Pieces in PL,Cartons in PL,GW in PL,Volumn in PL,Pieces in ETMS,Cartons in ETMS,GW in ETMS,Volumn in ETMS,Availability,Pieces Diff,Cartons Diff,Weight Diff,Volume Diff
138490,480,96,128.0,2.06,0,0,0.0,0.0,PackingList,0,0,0.0,0.0
138491,480,96,128.0,2.06,0,0,0.0,0.0,PackingList,0,0,0.0,0.0
138492,480,96,125.0,2.06,0,0,0.0,0.0,PackingList,0,0,0.0,0.0
138494,480,96,125.0,2.06,0,0,0.0,0.0,PackingList,0,0,0.0,0.0
138495,240,48,66.0,1.03,0,0,0.0,0.0,PackingList,0,0,0.0,0.0
138669,1400,140,206.0,1.38,0,0,0.0,0.0,PackingList,0,0,0.0,0.0
138670,1400,140,194.0,1.38,0,0,0.0,0.0,PackingList,0,0,0.0,0.0
140137,760,150,120.0,1.73,750,150,120.0,1.73,Both,10,0,0.0,0.0
140141,672,150,642.0,11.01,672,168,642.0,11.01,Both,0,18,0.0,0.0
140575,2880,576,1136.0,5.11,0,0,0.0,0.0,PackingList,0,0,0.0,0.0
140576,1440,288,642.0,2.55,0,0,0.0,0.0,PackingList,0,0,0.0,0.0
